MARCA,CATEGORÍA,SUBCATEGORIA,PRODUCTO,TXT PRINCIPAL,PDF,2 FOTOS EN USO,PNG TRANSPARENTE,TXT descriptivo ,,TEXTO ARGUMENTOS DE VALOR,CARACTERISTICAS,Palabras clave,Trabajos Ideales,GRUPO,OBSERVACIONES imagenes,IMAGEN secundaria
,,FORRAJERO,SEGADORA 390,SI,SI,NA,SI,,390,,,,,,,
,,FORRAJERO,SEGADORA S250,SI,SI,SI,SI,,S250,"Las segadoras acondicionadoras John Deere están fabricadas con piezas durables que soportan las condiciones extremas de uso diario. Puedes estar seguro que, aunque se tope con una obstrucción gracias a las innovaciones como nuestro eje de corte patentado de la barra de corte, podrás seguir operando tu máquina de manera rápida y sin problemas.  ","Diseño y estilo actualizado
Disminuya el tiempo de ajuste con cuchillas de cambio rápido
Fácil mantenimiento con barra de corte con diseño modular
Plataforma de corte impulsada con engranes
Impulsores de uretano o acondicionadores V-10",,,,✓,
,,FORRAJERO,SEGADORA S300,SI,SI,SI,SI,,S300,"Las segadoras acondicionadoras John Deere están fabricadas con piezas durables que soportan las condiciones extremas de uso diario. Puedes estar seguro que, aunque se tope con una obstrucción gracias a las innovaciones como nuestro eje de corte patentado de la barra de corte, podrás seguir operando tu máquina de manera rápida y sin problemas.  ","Diseño y estilo actualizados
Cuchillas de cambio rápido
Rodillos acondicionadores de uretano(caucho) o v10(acero)
Plataforma de corte accionada por engranajes",,,,✓,
,,FORRAJERO,DESVARADORA DE ALAS SERIE FC20M,SI,SI,SI,SI,,Serie FC20M,"Esta serie es óptima para las tareas más exigentes. Destaca por ofrecer características premium en la configuración estándar como: suspensión trasera de torsión, cámara de corte superior, barras cardán más robustas y bisagras de las alas que no requieren mantenimiento. También ofrece como característica opcional una suspensión frontal para mejor confort al manejar.","Garantía 5 años para todas las cajas de engranes
Compatibilidad de TDF para tractores arriba de 75 hp
Exclusiva suspensión por torsión para un corte uniforme y de mantenimiento mínimo.
Refuerzo extra para mayor durabilidad y aplicaciones exigentes
Alta capacidad de corte",,,SI,✓,
,,FORRAJERO,DESVARADORA DE ALAS SERIE FC15M,SI,SI,SI,SI,,Serie FC15M,"Esta serie es perfecta para clientes con requerimientos intermedios y tareas versátiles. Ofrece como opción la suspensión trasera de torsión para una estabilidad incomparable ideal en terrenos irregulares. También dispone de una amplia variedad de características de suspensión delantera, engranajes, categoría barras cardán, enganches y neumáticos que puedes configurar según tus necesidades.","Barra cardan es ligera resistente
Diseño de doble cubierta
Barra cardan con embrague deslizante
Plato protector viene incluido
compatible con tractores de 55 hp a la TDF",,,SI,✓,
,,FORRAJERO,DESVARADORA SERIE RC5M,SI,SI,SI,SI,,Serie RC5M,"Las desvaradoras serie RC son de servicio semipesado y están fabricadas con algunas de las características durables de nuestras desvaradoras de servicio pesado, como la caja de engranes diseñada por John Deere, rueda trasera auto-ajustable a prueba de pinchaduras y protección de línea de mando mediante el embrague deslizante.","Diseño de doble cubierta
Cuchillas de succión
Plato protector incluido en la máquina básica
5 años de garantía
compatible con tractores desde 40 hasta 55 hp a la TDF",,,,✓,
,,FORRAJERO,DESVARADORA  SERIE RC6M,SI,SI,SI,SI,,Serie RC6M,"Las desvaradoras serie RC son de servicio semipesado y están fabricadas con algunas de las características durables de nuestras desvaradoras de servicio pesado, como la caja de engranes diseñada por John Deere, rueda trasera auto-ajustable a prueba de pinchaduras y protección de línea de mando mediante el embrague deslizante.","Diseño de doble cubierta
Cuchillas de succión
Plato protector incluido en la máquina básica
5 años de garantía en cajas de engranes
Compatible con tractores desde 40 hasta 55 hp a la TDF",,,,✓,
,,FORRAJERO,DESVARADORA SERIE RC7M,SI,SI,en carpeta,SI,,Serie RC7M,"El diseño Double –Decker™ (Doble cubierta) permite que la desvaradora sea más resistente y durable, mientras que la forma de domo se deshace del agua y los residuos . El diseño posterior redondo le permite llegar a las esquinas mientras la cámara de corte MaxFlow™ distribuye los cortes. Los embragues deslizantes protegen la línea de mando.","Diseño Double-Decker™
Cámara de corte MaxFlow™
Diseño posterior redondeado
Embragues deslizantes
Compatible con tractores desde 40 hasta 55 hp a la TDF",,,,✓,
,,FORRAJERO,DESVARADORA SERIE RC8M,SI,SI,en carpeta,SI,,Serie RC8M,"El diseño Double –Decker™ (Doble cubierta) permite que la desvaradora sea más resistente y durable, mientras que la forma de domo se deshace del agua y los residuos . El diseño posterior redondo le permite llegar a las esquinas mientras la cámara de corte MaxFlow™ distribuye los cortes. Los embragues deslizantes protegen la línea de mando.","Diseño Double-Decker™
Cámara de corte MaxFlow™
Diseño posterior redondeado
Embragues deslizantes
Aplicación Servicio semipesado",,,,✓,
,,FORRAJERO,DESVARADORA SERIE RC9M,SI,SI,en carpeta,SI,,,,,,,,,
,,FORRAJERO,DESVARADORA SERIE RC10M,,,,,,Serie RC10M,"Las segadoras giratorias John Deere están a la vanguardia por su diseño innovador, rendimiento superior y probada durabilidad. Incluyen características valiosas como el diseño de plataforma Double-Decker™ y la cámara de corte de flujo máximo, que evitan que el agua y los residuos se acumulen en la plataforma superior lisa y convexa, mientras que la plataforma inferior absorbe los golpes de rocas y tocones.","Diseño de doble cubierta
Plato protector incluido en la máquina básica
Capacidad de corte 51 mm
Tipos de enganche 3 puntos, De tiro, semi montada, semi montada hidráulica
Compatible con tractores desde 40 hasta 55 hp a la TDF",,,,✓,
,,FORRAJERO,W200M,SI,SI,SI,SI,,W200M Y CABEZAL R500,"
Las superficies de corte irregulares, como los bordes de riego, representan un desafío para el corte. Las segadoras autopropulsadas de la Serie W200 cuentan con una suspensión de flotación independiente de la plataforma, lo que mejora la calidad de corte en terrenos irregulares y optimiza el rendimiento.","200 caballos de fuerza
El sistema de dirección AutoTrac™ integrado ayuda a mantener la calidad del cultivo incluso a velocidades de corte más rápidas
JDLink™ habilitado
Velocidad de transporte opcional de 24 mph
",,,,✓,
,,FORRAJERO,W235R Y CABEZAL R500,,,,,,W235R Y CABEZAL R500,"
Las superficies de corte irregulares, como los bordes de riego, representan un desafío para el corte. Las segadoras autopropulsadas de la Serie W200 cuentan con una suspensión de flotación independiente de la plataforma, lo que mejora la calidad de corte en terrenos irregulares y optimiza el rendimiento.","235 caballos de fuerza
El sistema de dirección AutoTrac™ integrado ayuda a mantener la calidad del cultivo incluso a velocidades de corte más rápidas
JDLink™ habilitado
TouchSet™ para ajustes en la cabina
Velocidad de transporte de hasta 24 mph
",,,,✓,
,,GATORS,TX4X2,SI,SI,SI,SI,,TX 4X2 Gasolina,"El renovado Gator™ TX cuenta con el potente motor de dos cilindros así como velocidades de avance y par más altos, a lo que hay que añadirle la caja de transporte Deluxe de 460 litros de capacidad con portón tipo recogedor y varios accesorios disponibles.","Motor de gasolina de 2 cilindros.
Centro de gravedad bajo.
Suspensión en las cuatro ruedas.
Caja de transporte Deluxe.
Tipo de motor: 675 cc, V-2, gasolina
",,,,✓,
,,JARDINERO,S120,SI,SI,SI,SI,,s120,"Los tractores de jardín Serie S son fáciles de operar gracias a su transmisión hidrostática, tienen mayor durabilidad y brindan mayor confort.
El motor de dos cilindros en V de 22 hp (16,4 kW) tiene la potencia y el par motor necesarios para realizar las tareas de segado, mulching y ensacado en condiciones difíciles","Motor de 22 hp.
El sistema de corte Edge™ proporciona un rendimiento excepcional.
Fácil accionamiento para subir y bajar la plataforma.
El puesto de conducción está diseñado para asegurar comodidad y facilidad de manejo.",,,,✓,
,,JARDINERO,S140,SI,SI,SI,SI,,s140,"Los tractores de jardín Serie S son fáciles de operar gracias a su transmisión hidrostática, tienen mayor durabilidad y brindan mayor confort.
El sistema de corte Edge™ ha sido patentado para destacar las ventajas de las plataformas de corte diseñadas por John Deere. Aseguran rendimiento de corte, comodidad y confiabilidad superiores","Motor de 22 hp.
El sistema de corte Edge™ proporciona un rendimiento excepcional.
Fácil accionamiento para subir y bajar la plataforma.
El puesto de conducción está diseñado para asegurar comodidad y facilidad de manejo.",,,,✓,
,,JARDINERO,S180,SI,SI,SI,SI,,s180,"Los tractores de jardín Serie S son fáciles de operar gracias a su transmisión hidrostática, tienen mayor durabilidad y brindan mayor confort.
El sistema de cambio de aceite en 30 segundos Easy Change™ de John Deere hace que el cambio de aceite del motor sea más fácil, más rápido y más limpio. Cambiar el aceite es tan sencillo como enroscar un nuevo filtro de aceite lleno. No es necesario vaciar el aceite del motor.","Motor de 24 hp.
El sistema de corte Edge™ proporciona un rendimiento excepcional.
Fácil accionamiento para subir y bajar la plataforma.
El puesto de conducción está diseñado para asegurar comodidad y facilidad de manejo.",,,,✓,
,,JARDINERO,ZTRAC Z355E,SI,SI,X,SI,,Z355E,"La plataforma de corte Accel Deep™ de 122 cm está fabricada en acero estampado con una parte superior plana que proporciona una calidad de corte, una productividad, una limpieza, una durabilidad y una versatilidad excelentes. Rendimiento óptimo y dispersión de los recortes, incluso a velocidades de corte elevadas o con gramíneas altas","Motor de 2 cilindros en V de 22 HP (16,4 kW).
Plataforma de corte Accel Deep TM de 122 cm (48”).
Transmisión hidrostática Hydro-Gear®.
Asiento con respaldo de 38 cm de alto y apoyabrazos.",,,,✓,
,,JARDINERO,ZTRAC Z530M,SI,SI,SI,SI,,Z530M,"El Z530M incluye un bastidor sólido y robusto que garantiza un funcionamiento suave y cómodo. Con un potente motor de 16,1 kW de dos cilindros, la plataforma de corte de 122 cm (48 in) proporciona un rendimiento de primer nivel y se puede adaptar fácilmente para las aplicaciones de acolchado o recogida con la instalación de kits opcionales. El Z530M es una excelente elección si buscas una gran velocidad y eficiencia general.","Fácil de manejar
Gran maniobrabilidad
Fabricación robusta
Mayores velocidades de segado: 12,9 kph
Motor de 16,7 kW y 726 cc
Plataforma Accel Deep™ de 122 cm (48 in)",,,,✓,
,,JARDINERO,ZTRAC Z540M,SI,SI,X,SI,,Z540M,"Las cortadoras Z540M Radio Cero de uso residencial, ofrecen a su propietario una máquina con un robusto chasis de acero, neumático de mayores dimensiones, controles convenientemente ubicados, y la mejor calidad de corte. Su gran maniobrabilidad, la hace una herramienta indispensable para aquellos usuarios con necesidades de trabajo en áreas con obstáculos como árboles, columnas, canteros, etc.","Motor de 2 cilindros en V de 24 HP (17,9 kW).
Plataforma de corte Accel Deep TM de 138 cm (54”).
Transmisión hidrostática Tuff Torq TZ17-D.
Asiento con respaldo de 46 cm de alto y apoyabrazos.",,,,FALTA FOTO DE PRODUCTO EN APLICACION,"Campo de golf, jardin en buen estado"
,,MANEJO DE MATERIAL,SERIE 300E ,,,,,,Serie 300E,"Todos los puntos de articulación del cargador frontal disponen de engrasadores accesibles desde el costado del cargador para facilitar su engrase, lo que asegura su mantenimiento. No es necesario localizar puntos de engrase que son difíciles de encontrar. La separación del la pistola de engrase del engrasador o rodamiento no es problemática ya que hay espacio suficiente para rotar lateralmente la punta de la pistola para separarla del engrasador o rodamiento.","Compatible con tractor 3036E
El diseño mejora la visibilidad del operador respecto de los implementos delanteros.
Mayor resistencia y durabilidad sin sacrificar una postura compacta
Opción de autonivelación mecánica (MSL) con capacidad de elevación de 583 kg.",,,,✓,
,,MANEJO DE MATERIAL,SERIE 520M,SI,SI,SI,SI,,Serie 520M,"Este nuevo Cargador Frontal es la solución concreta para sus requerimientos de trabajo diario con su nueva línea de Tractores 5E y modelos anteriores de las Series 5015 y 5025, su integración con el tractor se traduce en mayor versatilidad puesto que tiene mayor compatibilidad con rodados y visibilidad por consiguiente mayor productividad.","Soporte Universal (Global Carrier)
Sistema de Auto–Nivelación Mecánico
Fácil enganche y desenganche al Tractor
Nueva solución con Sistema de Auto-Nivelación Mecánico",,,,✓,
,,MANEJO DE MATERIAL,SERIE 500M,SI,X,SI,X,,SERIE500M,"Su tamaño compacto permite una mejor maniobrabilidad en lugares estrechos de instalaciones agrícolas y ganaderas, tales como corrales, almacenes, bodegas, macro túneles y huertos de árboles bajos. Proporciona al operador una mayor confianza en la realización de todas las tareas.","Especialmente diseñado para tractores 5E de 3 cilindros
Excelente maniobrabilidad
Capacidad de carga y altura optimizada
Sistema de auto nivelación mecánico
Compatible con serie 5000 y 6000",,,,✓,
,,MANEJO DE MATERIAL,SERIE 540M,SI,SI,SI,X,,Serie 540M,"El diseño del bastidor de montaje permite una mayor visibilidad en la zona de fijación permitiendo así buena visibilidad con la parte superior del cucharón. Gran reversión de ángulos, ayudan a mantener más material en el cucharón y menos en el terreno, aumentando así de la productividad.","Brazos de levante que maximizan la visibilidad del operador
Diseño compacto del bastidor de montaje que permite una mejor visibilidad en la parte superior del cucharón
Mayor altura de levante
Excelentes especificaciones para el rendimiento de la operación
Compatible con serie 5000",,,,FALTA FOTO DE PRODUCTO PNG TRANSPARENTE,Foto de monton de heno en rancho
,,MANEJO DE MATERIAL,SERIE H310,SI,SI,SI,X,,Serie H310,"Los Brazos de Levante de los Cargadores maximizan la visibilidad del operador mientras que proporcionan la fuerza para soportar muchos años de uso rudo. Es compatible con diferentes familias de tractores y cuenta con variedad de funciones hidráulicas para una mayor productividad.

","Sistema de auto nivelación Cargador compatible con diferentes familias de Tractores.
Soporte Universal (Global Carrier).
Mayor altura de levante.
Líneas de aceite ocultas para una mayor protección y visibilidad.
Compatible con serie 6000",,,,FALTA FOTO DE PRODUCTO PNG TRANSPARENTE,Foto de monton de heno en rancho
,,MANEJO DE MATERIAL,SERIE 741,,,,,,Serie 741,"El Cargador Frontal 741 está disponible en ambas versiones con y sin sistema de auto nivelación mecánico.
Resulta especialmente útil cuando se manipulan materiales de alta fluidez o pacas redondas, o se utiliza un montacargas para reducir o evitar derrames.","Fácil y rápido Sistema de Estacionamiento
Sistema de Auto nivelación Mecánico
Soporte Universal (Global Carrier)
Fácil acceso a los puntos de servicio del Tractor",,,,✓,
,,SEMBRADORAS,1015,SI,SI,SI,SI,,1015,"La sembradora 1015 tiene la capacidad de trabajar tanto en los sistemas de labranza convencional como en labranza reducida, adaptándose a las diferentes condiciones de terreno y texturas.","Disponible en 2, 3 y 4 hileras.
Monitor de semilla ComputerTrak™ 150.
Ideal para tractores de  50 a 83 hp.
Nuevo sistema de dosificador de dedos para una mayor precisión.",,,,✓,
,,SEMBRADORAS,1035,SI,SI,SI,SI,,1035,"Con la sembradora 1035 se tiene opción de trabajar con sistema tradicional así como en labranza reducida, adaptándose a las condiciones de terreno en sus diferentes texturas.","Sembradora integral de precisión para 4 Y 6 hileras
Sistema de labranza tradicional y reducida
Siembra de cultivos en hileras
Opción de insecticida y fertilización al tiempo de tirar la semilla",,,,✓,
,,TRACTORES,7M230,,,,,,7M230,"Tractor de 230hp a motor y 192 hp a la toma de fuerza
Turbo alimentado con refrigeración de aire
Reducción de ruido en cabina
Eficiencia del motor, hasta 3% menos consumo de combustible.
Capacidad de levante de 4000 hasta 6500kg
Peso de 10410kg","Motor John Deere PowerTech™ 6 cilindros de Aspiración Turbocargada

Transmisión opción 20F/20R CommandQuad™ Plus y  AutoQuad™ 16F/16R",,,,✓,
,,TRACTORES,7R210,,,,,,7R210,"Tractor de 210 hp a motor
Doble tracción o eje delantero con Suspensión TLS™ Plus
Cuenta con 5 cajas de valvulas
Eficiencia y confort en la palma de la mano con el control CommandPRO
Espejos retrovisores mecánicos y eléctricos
Preparación para cámara y 18 luces de trabajo LED","Motor John Deere PowerTech™ 6 cilindros de Aspiración Turbocargada
Transmisión estandar John Deere e23™",,,,FALTA FOTO DE PRODUCTO PNG TRANSPARENTE,Foto de cultivo en buen estado
,,TRACTORES,7R230,,,,,,7R230,"Tractor de 230 hp a motor
Doble tracción o eje delantero con Suspensión TLS™ Plus
Cuenta con 5 cajas de valvulas
Eficiencia y confort en la palma de la mano con el control CommandPRO
Espejos retrovisores mecánicos y eléctricos
Preparación para cámara y 18 luces de trabajo LED
Reducción de emisiones nivel Tier 4","Motor John Deere PowerTech™ 6 cilindros de Aspiración Turbocargada
Transmisión estandar John Deere e23™",,,,✓,
,,TRACTORES,8R230,SI,SI,SI,SI,,"8R 230, 250, 310, 340","Tractor de 230 hp y 200 a la toma de fuerza
Reducción de emisiones nivel Tier 4
Capacidad de levante de hasta 9072kg
Especial para labranza
Con cabina premium
18 luces de trabajo LED
GPS integrado
Pantalla 
Toma de 7 clavijas ISOBUS","Motor John Deere PowerTech™ 6 cilindros de Aspiración turbo de geometría variable
Transmisión estandar John Deere e23™",,"Empacadora
Suelo",,✓,
,,TRACTORES,8R250,SI,SI,SI,SI,,"8R 230, 250, 310, 340","Tractor de 250hp y 200 a la toma de fuerza
Reducción de emisiones nivel Tier 4
Capacidad de levante de hasta 9072kg
Especial para labranza
Con cabina premium
18 luces de trabajo LED
GPS integrado
Pantalla 
Toma de 7 clavijas ISOBUS","Motor John Deere PowerTech™ 6 cilindros de Aspiración turbo de geometría variable
Transmisión estandar John Deere e23™",,,,✓,
,,TRACTORES,8R310,SI,SI,SI,X,,"8R 230, 250, 310, 340","Tractor de 310hp y 257 a la toma de fuerza
Reducción de emisiones nivel Tier 4
Capacidad de levante de hasta 9072kg
Especial para labranza
Con cabina premium
18 luces de trabajo LED
GPS integrado
Pantalla 
Toma de 7 clavijas ISOBUS","Motor John Deere PowerTech™ 6 cilindros de Aspiración turbo de geometría variable
Transmisión estandar John Deere e23™",,,,✓,
,,TRACTORES,8R340,SI,SI,SI,X,,"8R 230, 250, 310, 340","Tractor de 340hp y 284 a la toma de fuerza
Reducción de emisiones nivel Tier 4
Capacidad de levante de hasta 9072kg
Especial para labranza
Con cabina premium
18 luces de trabajo LED
GPS integrado
Pantalla 
Toma de 7 clavijas ISOBUS","Motor John Deere PowerTech™ 6 cilindros de Aspiración turbo de geometría variable
Transmisión estandar John Deere e23™",,,,✓,
,,TRACTORES,3036EN,SI,SI,SI,SI,,3036 EN,"Tractor de 36hp
Súper angosto y con gran estabilidad
Especial para invernaderos o espacios muy estrechos
Caja de valvulas
Sistema hidráulico de centro abierto
Capacidad de levante de 810kg
Capacidad de tanque 32 lts","Motor de 3 cilindros
Transmisión Estandar SyncReverser TM 8F/ 8R",,,,✓,
,,TRACTORES,5075E,SI,X,SI,SI,,5075E,"Tractor 3 cilindros turbo con enfriador y bomba de inyección reforzada, Palancas de controles laterales, suspensión mecanica para mayor confort del operador. Alta performance con bajo consumo de combustible. Un tractor totalmente mecanico","Motor PowerTech M de 2,9 litros y 3 cilindros con turbocargador
Potencia nominal 75 HP (55 Kw)
Transmisión 9F/3R y opcional 12F/12R PR.
Toma de fuerza 540 y 540E
Capacidad máxima de elevación 1.800 kg en el punto de enganche
",,,,✓,
,,TRACTORES,5076E,Favor de revisar carpeta en drive completo vienen mezclados productos,,,,,5076E,"El tractor 5076E de 4 cilindros turbo con opción a power reverser™ que cuenta con un embrague humedo permite duplicar la vida util, reduce el desgaste de la pastilla del embrague y no requiere ajustes regulares. Un tractor totalmente mecanico.","Potencia nominal 76 HP 
Transmisión sincronizada con 9 velocidades de avance y 3 de reverse con opción a power reverse
Motor PowerTech™, tecnología y eficiencia garantizada en todo el mundo
",,,,FALTA FOTO DE PRODUCTO PNG TRANSPARENTE,
,,,5076EL,,,,,,5076EL,"El tractor 5076EL huertero de 4 cilindros turbo, con una altura de 1.5metros cuenta con un gran desempeño y versatilidad en las operaciones diarias gracias a su transmisión 9X3 sincronizada con embrague seco y opcional 12X12 PowrReverser™ con embrague húmedo, para demanda de trabajo rudo y ágil.","Potencia nominal 76 HP 
Transmisión PowrReverser™ con 12 velocidades de avance y 12 de reversa
Motor PowerTech™ de Aspiración Turbocargada
Toma de fuerza 540 y 540E 
",,"Viñedos
Nogaleras
Manzaneros",,FALTA FOTO DE PRODUCTO EN APLICACION,Foto de cultivo en buen estado
,,TRACTORES,5076EN,,,,,,5076EN,"El tractor 5076EN huertero de 4 cilindros turbo, con un ancho minimo de 1.3 metros y hasta 1.51 metros con opción a cabina, cuenta con un gran desempeño y versatilidad en las operaciones diarias, cuenta con embrague húmedo PowrReverser™ 12X12, para un trabajo rudo y ágil.","Potencia nominal 76 HP 
Transmisión PowrReverser™ 12A/12R e inversor electrohidráulico
Toma de potencia 540/540E “Económica",,,,✓,
,,TRACTORES,5090E,Favor de revisar carpeta en drive completo vienen mezclados productos,,,,,5090E,"El tractor 5090E de 92HP turbo, con un motor John Deere power tech 4 cilindros, con transmisión sincronizada 9x3 y opcional PowrReverser™ 12x12.","Potencia nominal 92 HP 
Sincronizada 9F/3R - PowrReverser™
Toma de potencia 540/540 “Económica",,,,✓,
,,TRACTORES,5090EH,,,,,,5090EH,El tractor 5090EH alto despeje de 92HP turbo,"Tractor de 92HP turbo
Motor John Deere power tech 4 cilindros, con transmisión sincronizada 9x3 y opcional PowrReverser™ 12x12.",,,,✓,
,,TRACTORES,5090EN,,,,,,5090EN,"El tractor 5090EN angosto de 92HP turbo, con un motor John Deere power tech 4 cilindros, con transmisión opcional PowrReverser™ 12x12.","Motor John Deere power tech 4 cilindros, con transmisión opcional PowrReverser™ 12x12.",,,,✓,
,,TRACTORES,5090EL,,,,,,5090EL,"El tractor 5090EL huertero con transmisión12X12 PowrReverser™  de 4 cilindros turbo, con una altura de 1.5 metros cuenta con un gran desempeño y versatilidad en las operaciones diarias con embrague húmedo, ademas cuenta con 2 cajas de valvulas y su caja de herramienta","Potencia nominal 92 HP 
Transmisión PowrReverser™ con 12 velocidades de avance y 12 de reversa
Motor PowerTech™ de Aspiración Turbocargada
Toma de fuerza 540 y 540E 
",,,,✓,
,,TRACTORES,5415E,SI,SI,SI,SI,,5415,"Tractor utilitario de 77hp a motor con 67 hp en la toma de fuerza
Con embrague seco
Rendimiento fiable con motores diesel powrtech de alto torque y bajas emisiones
Amplio tanque con capacidad de 95 litros
Con mejor diseño para comodidad y visibilidad del operador.","Motor John Deere PowerTech™ 4 cilindros de Aspiración Natural
Transmisión de 9x3
Dos cajas de valvulas
Opción a tracción sencilla y doble tracción",,,,✓,
,,TRACTORES,5715E,SI,SI,SI,SI,,5715,"Tractor utilitario de 89 hp
Amplio tanque con capacidad de 95 litros
Facil acceso a todos los puntos del servicio del motor
Frenos autoajustbales multidisco húmedos
Mejoramiento de ergonomía para el colaborador","Motor John Deere PowerTech™ 4 cilindros de Aspiración Turbocargada
Transmisión de 9x3
Dos cajas de valvulas
Opción a tracción sencilla y doble tracción",,,,✓,
,,TRACTORES,6105E,Favor de revisar carpeta en drive completo vienen mezclados productos,,,,,6105E,"Tractor de 100hp
Mayor autonomía de combustible con tanque de 230 lts
Menor emisiones con nivel Tier 3
Con la función HI/LO te permite bajar o subir la marcha sin tener que accionar el embrague","Motor John Deere PowerTech™ 4 cilindros de Aspiración Turbocargada
Transmisión opción 12F/12R PowrReverser™",,,,✓,
